Player,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
CH Gayle,1,0.5,0,5,0,-,6,-
Ravi Bishnoi,14,51,1,376,12,31.33,7.37,25.5
M Ashwin,9,31.3,0,235,10,23.5,7.46,18.9
GJ Maxwell,7,21,0,169,3,56.33,8.04,42
Mohammed Shami,14,53.4,0,460,20,23,8.57,16.1
Arshdeep Singh,8,24.5,1,218,9,24.22,8.77,16.5
SS Cottrell,6,20,1,176,6,29.33,8.8,20
DJ Hooda,1,1,0,9,0,-,9,-
CJ Jordan,9,31.3,0,304,9,33.77,9.65,21
JDS Neesham,5,15,0,148,2,74,9.86,45
Harpreet Brar,1,4,0,41,0,-,10.25,-
Mujeeb Ur Rahman,2,8,0,83,0,-,10.37,-
K Gowtham,2,8,0,84,1,84,10.5,48
